Symbol,MarketCap,Price,Circulating Supply,Volume24h,percent_1H,percent_24H,percent_7D,Date
BTC,229119666553.46,13657.23,16776437,10291150848.0,-0.61,-2.74,-4.35,20180101
XRP,92626460337.91,2.391,38739144847,1894233216.0,5.65,4.68,119.1,20180101
ETH,74724214898.83,772.64,96712747,2595758336.0,-0.24,2.72,0.47,20180101
ADA,18891950896.38,0.7287,25927070538,150186304.0,2.37,1.22,74.27,20180101
LTC,12499195561.39,229.03,54573858,633142336.0,-1.12,-0.88,-16.98,20180101
USDT,1378053107.69,1.0073,1368089837,1685303424.0,-0.04,-0.28,-0.5,20180101
DOGE,1003049993.46,0.008909,112592617441,50616884.0,0.92,-0.74,-3.89,20180101
BNB,833164374.39,8.4146,99014000,66422848.0,-0.24,-1.8,24.24,20180101
BTC,251377940171.48,14982.1,16778550,16846582784.0,0.01,8.47,-8.16,20180102
XRP,96108131079.9,2.4809,38739144847,3171011328.0,2.89,7.21,109.24,20180102
ETH,85553022476.02,884.44,96730809,5783349248.0,0.58,12.82,14.13,20180102
ADA,20290192774.3,0.7826,25927070538,289712384.0,-0.09,7.45,86.08,20180102
LTC,13957191661.92,255.68,54587683,1237953920.0,0.16,9.9,-10.85,20180102
USDT,1374795567.65,1.0049,1368089837,2635855616.0,0.47,-0.2,0.1,20180102
DOGE,1029797611.99,0.009145,112606585840,89424088.0,0.31,2.82,0.69,20180102
BNB,875062910.1,8.8378,99014000,104789000.0,-1.06,3.81,-7.0,20180102
BTC,255080382652.59,15200.99,16780512,16871898112.0,0.57,1.29,-0.94,20180103
XRP,120299472326.81,3.1054,38739144847,6635881472.0,-1.36,27.07,125.65,20180103
ETH,93146797255.46,962.72,96753812,5093156352.0,-0.13,8.27,28.78,20180103
ADA,27992416299.89,1.0797,25927070538,657398144.0,3.76,36.28,167.17,20180103
LTC,13397610699.86,245.37,54602108,3215275008.0,0.11,-4.22,-7.74,20180103
USDT,1386471599.68,1.0134,1368089837,2471685632.0,0.48,0.95,0.69,20180103
DOGE,1049588240.85,0.00932,112620509322,66349908.0,1.25,2.0,8.76,20180103
BNB,944185253.4,9.5359,99014000,108851616.0,5.62,7.55,3.59,20180103
BTC,261794996602.86,15599.18,16782612,21783212032.0,1.62,2.68,6.78,20180104
XRP,123834878884.02,3.1966,38739144847,8103657984.0,-4.55,0.58,117.62,20180104
ETH,94924284873.75,980.92,96770496,6502863360.0,-1.18,2.12,33.06,20180104
ADA,28885871088.66,1.1141,25927070538,593430208.0,-9.32,2.46,171.85,20180104
LTC,13183087385.77,241.37,54617783,3481552384.0,1.9,-1.12,-2.27,20180104
USDT,1471805997.72,1.0025,1468089837,3200132352.0,0.02,-0.96,-0.7,20180104
DOGE,1086239514.09,0.009644,112634376683,108986096.0,0.93,3.75,14.55,20180104
BNB,912314215.65,9.214,99014000,158818896.0,-0.2,0.01,1.5,20180104
BTC,292544332229.98,17429.51,16784425,23840886784.0,-0.72,13.41,22.01,20180105
XRP,118104450171.1,3.0487,38739144847,6288498176.0,3.58,-7.9,32.53,20180105
ETH,96574903992.48,997.72,96795630,6683151872.0,1.92,0.98,35.55,20180105
ADA,25915648680.03,0.9996,25927070538,508100160.0,5.86,-16.78,98.27,20180105
LTC,13618135555.18,249.27,54631933,1710600448.0,-0.66,4.61,3.78,20180105
BNB,1477013632.53,14.92,99014000,341504608.0,-8.22,62.44,74.44,20180105
USDT,1466084747.56,0.9986,1468089837,3096618752.0,-0.22,-0.44,-0.68,20180105
DOGE,1370599145.74,0.01217,112648430726,212382992.0,9.72,26.5,39.14,20180105
BTC,294216800737.55,17526.96,16786525,18314604544.0,0.03,0.4,32.89,20180106
XRP,119857800500.78,3.094,38739144847,2777555200.0,0.13,2.35,44.7,20180106
ETH,100851942480.17,1041.68,96816779,4662221824.0,-0.01,5.02,44.53,20180106
ADA,26631111947.24,1.0272,25927070538,297614656.0,-0.2,4.87,49.4,20180106
LTC,16200066231.76,296.45,54646108,2264739584.0,0.01,18.19,33.17,20180106
BNB,2253535055.89,22.76,99014000,637020800.0,0.27,44.38,184.94,20180106
DOGE,1674486360.83,0.01486,112662483414,283716896.0,-1.19,24.92,87.07,20180106
USDT,1481291186.8,1.009,1468089837,2620076288.0,-0.04,0.9,-0.42,20180106
BTC,276634593972.51,16477.59,16788537,15865964544.0,-0.9,-5.8,17.66,20180107
XRP,130853590978.56,3.3778,38739144847,2395150848.0,0.47,8.19,48.45,20180107
ETH,111670506535.05,1153.17,96837992,5569883136.0,2.82,10.26,53.07,20180107
ADA,26147944637.95,1.0085,25927070538,226066848.0,-0.75,-1.2,39.79,20180107
LTC,15766509797.32,288.45,54659308,1055404160.0,-0.84,-3.21,25.03,20180107
DOGE,1925382104.22,0.01709,112676542843,288184256.0,1.58,13.94,91.61,20180107
BNB,1847279983.87,18.66,99014000,258050288.0,-0.34,-15.46,118.33,20180107
USDT,1470388767.18,1.0016,1468089837,2338184192.0,0.06,-0.73,-0.76,20180107
BTC,254714994189.05,15170.08,16790612,18413901824.0,1.11,-8.01,11.12,20180108
ETH,111244572813.3,1148.53,96858270,8450972160.0,0.27,-1.5,41.53,20180108
XRP,95151535665.99,2.4562,38739144847,3315261952.0,1.2,-26.53,8.63,20180108
ADA,23308496398.89,0.899,25927070538,264461104.0,0.09,-9.86,25.54,20180108
LTC,13983448823.99,255.76,54673358,1182078720.0,1.74,-11.4,8.27,20180108
BNB,1808087068.1,18.26,99014000,296617792.0,-0.47,-2.4,118.02,20180108
DOGE,1695433581.58,0.01505,112690635817,235114320.0,1.06,-11.65,70.67,20180108
USDT,1481774914.29,1.0093,1468089837,3815751168.0,-0.15,0.57,0.41,20180108
BTC,245096225232.06,14595.42,16792675,16660015104.0,-0.15,-3.58,-3.1,20180109
ETH,125917486670.95,1299.74,96879318,7965456896.0,-0.64,12.36,46.61,20180109
XRP,81421175917.05,2.1018,38739144847,3694696192.0,1.25,-14.56,-15.31,20180109
ADA,21123897229.33,0.8147,25927070538,209491552.0,0.71,-9.96,-0.61,20180109
LTC,13509647142.65,247.04,54686833,940824704.0,0.2,-2.86,-3.42,20180109
BNB,1724011247.86,17.41,99014000,194749824.0,1.73,-6.09,98.48,20180109
DOGE,1512503661.37,0.01342,112704700283,115254912.0,-2.21,-10.92,46.37,20180109
USDT,1476880761.14,1.006,1468089837,2766179072.0,-0.21,-0.33,0.21,20180109
BTC,251473075071.86,14973.33,16794737,18500780032.0,2.86,3.28,-1.34,20180110
ETH,121689431827.14,1255.82,96900372,9214945280.0,1.39,-3.08,32.75,20180110
XRP,76506870885.56,1.9749,38739142811,4833637376.0,1.13,-4.4,-39.75,20180110
ADA,20563309781.94,0.7931,25927070538,236472336.0,1.5,-1.24,-30.88,20180110
LTC,13703505213.06,250.52,54700783,1009909568.0,2.31,1.88,3.26,20180110
BNB,1721931396.36,17.39,99014000,146581792.0,4.17,2.42,91.44,20180110
DOGE,1476847704.06,0.0131,112718755164,100243336.0,2.97,-1.92,42.06,20180110
USDT,1469973468.57,1.0013,1468089837,3189862912.0,0.05,-0.57,-0.76,20180110
BTC,225178737172.34,13405.8,16797112,16534070272.0,0.28,-9.21,-13.04,20180111
ETH,111937571741.14,1154.93,96921393,7235903488.0,0.19,-9.41,14.44,20180111
XRP,75572229806.22,1.9508,38739142811,6296118784.0,3.68,-0.12,-40.7,20180111
ADA,17848516032.08,0.6884,25927070538,229001008.0,1.96,-11.47,-39.94,20180111
LTC,12549844975.71,229.37,54715408,1079390336.0,0.22,-7.82,-4.42,20180111
BNB,2083516969.16,21.04,99014000,389228160.0,3.67,22.62,127.81,20180111
USDT,1470601229.25,1.0017,1468089837,3841114624.0,-0.7,-0.04,0.11,20180111
DOGE,1292962969.91,0.01147,112732830712,62721960.0,0.01,-11.21,17.31,20180111
BTC,234865728011.89,13980.63,16799362,12065672192.0,1.09,4.84,-18.8,20180112
ETH,123427123273.45,1273.2,96942302,5222299648.0,1.51,10.89,27.28,20180112
XRP,79152907075.61,2.0432,38739142811,3330813440.0,1.28,7.63,-33.07,20180112
ADA,23269758513.11,0.8975,25927070538,365795360.0,-1.45,32.69,-9.56,20180112
LTC,12962889933.29,236.86,54729008,691160320.0,0.96,3.92,-9.78,20180112
BNB,2209627016.87,22.32,99014000,387538336.0,2.04,7.84,44.87,20180112
USDT,1477012018.6,1.0061,1468089837,2668216320.0,0.02,-0.09,0.59,20180112
DOGE,1472031523.38,0.01306,112746863110,56971272.0,1.19,14.66,7.33,20180112
BTC,241267906409.77,14360.16,16801200,12763609088.0,-0.58,2.69,-16.87,20180113
ETH,135400503457.1,1396.42,96962759,5746755072.0,-0.64,9.89,32.36,20180113
XRP,78305436604.28,2.0214,38739142811,2130168832.0,-0.06,-1.32,-35.32,20180113
ADA,22922752546.57,0.8841,25927070538,313215136.0,-1.41,-4.72,-13.28,20180113
LTC,14189078554.65,259.19,54743308,961043328.0,-0.71,9.17,-13.23,20180113
BNB,2195571352.88,22.17,99014000,181676000.0,-1.21,-0.71,3.76,20180113
USDT,1471060455.35,1.002,1468089837,2759876352.0,0.01,-0.29,-0.51,20180113
DOGE,1468524523.3,0.01302,112760804970,55890568.0,1.17,-0.6,-13.42,20180113
BTC,231412752942.7,13771.96,16803187,11084103680.0,0.65,-4.35,-15.36,20180114
ETH,132555121156.21,1366.77,96984062,4841634816.0,1.23,-1.86,16.34,20180114
XRP,72101005311.81,1.8612,38739142811,1978197376.0,-0.28,-7.22,-42.88,20180114
ADA,20800295949.43,0.8023,25927070538,160711824.0,-0.74,-8.36,-19.26,20180114
LTC,13069643556.5,238.68,54759083,886415232.0,-0.72,-9.08,-15.94,20180114
BNB,2057239982.19,20.78,99014000,129239120.0,-0.76,-6.21,12.69,20180114
USDT,1491761506.86,1.0161,1468089837,2960405760.0,0.04,1.32,1.37,20180114
DOGE,1317717611.04,0.01168,112774743608,65899048.0,-0.19,-10.21,-32.12,20180114
BTC,232243264538.94,13819.83,16805075,12750821376.0,-1.9,0.27,-9.37,20180115
ETH,125319545817.48,1291.92,97002730,4781095936.0,-1.84,-5.46,10.48,20180115
XRP,64955102820.85,1.6767,38739142811,1838460544.0,-2.83,-10.37,-32.28,20180115
ADA,20186471918.99,0.7786,25927070538,972993280.0,-3.18,-3.98,-14.24,20180115
LTC,12749745592.7,232.77,54773083,601770176.0,-1.27,-2.95,-9.03,20180115
BNB,1937181201.31,19.56,99014000,244153696.0,-1.36,-6.51,3.68,20180115
USDT,1477806038.72,1.0066,1468089837,2557184768.0,0.09,-0.74,-0.1,20180115
DOGE,1111761442.21,0.009857,112788741278,62765524.0,-1.79,-15.59,-35.47,20180115
BTC,193121957831.13,11490.55,16807025,18853785600.0,4.32,-16.76,-21.43,20180116
ETH,102231467279.29,1053.69,97022175,8405139968.0,6.53,-18.22,-18.64,20180116
XRP,45682677045.26,1.1792,38739142811,5687963648.0,11.41,-28.84,-44.32,20180116
ADA,16243136882.17,0.6265,25927070538,1632650496.0,11.16,-19.07,-23.0,20180116
LTC,10318334140.23,188.33,54788433,1405069952.0,7.02,-18.85,-24.12,20180116
USDT,1673352875.32,1.0342,1618090823,5552932864.0,0.98,2.57,2.92,20180116
BNB,1375497408.58,13.89,99014000,399950656.0,8.12,-27.64,-18.8,20180116
DOGE,769559074.68,0.006822,112802770929,68099208.0,7.38,-30.19,-50.3,20180116
BTC,188070817920.7,11188.62,16809112,18830600192.0,-0.19,0.08,-22.42,20180117
ETH,98429535729.25,1014.25,97046183,8545157120.0,1.88,-0.61,-20.52,20180117
XRP,50606329380.55,1.3063,38739142811,7251208704.0,5.85,14.17,-31.54,20180117
ADA,16310763986.33,0.6291,25927070538,1713770752.0,1.72,6.54,-15.8,20180117
LTC,10221708421.19,186.52,54803483,1422490880.0,-0.02,1.48,-23.63,20180117
USDT,1641594454.2,1.0145,1618090823,5588843520.0,-2.06,-1.44,1.05,20180117
BNB,1406310957.14,14.2,99014000,299410688.0,2.72,6.76,-14.95,20180117
DOGE,862812895.23,0.007648,112816798328,58846156.0,3.12,15.11,-39.0,20180117
BTC,192907852401.16,11474.92,16811262,15020385280.0,-0.11,1.98,-15.65,20180118
ETH,100588605274.41,1036.28,97066737,5938323968.0,0.33,2.59,-12.8,20180118
XRP,61850160206.83,1.5966,38739142811,9110437888.0,0.14,24.4,-20.15,20180118
ADA,17107805992.62,0.6598,25927070538,1285494272.0,0.55,5.54,-6.35,20180118
LTC,10570953578.88,192.84,54818158,936784320.0,0.26,3.3,-17.07,20180118
USDT,1655482253.35,1.0231,1618090823,4302298112.0,0.17,0.37,1.79,20180118
BNB,1413955398.15,14.28,99014000,204899472.0,1.08,0.25,-34.15,20180118
DOGE,899102934.66,0.007969,112826007997,56599336.0,0.24,5.39,-31.85,20180118
BTC,195159517465.75,11607.44,16813312,10740380672.0,1.14,1.07,-17.33,20180119
ETH,100883590782.23,1039.1,97087347,4084451840.0,0.77,0.31,-18.59,20180119
XRP,60125049441.01,1.552,38739142811,3697432320.0,1.0,-3.64,-24.06,20180119
ADA,16865499103.03,0.6505,25927070538,584574336.0,2.07,-0.57,-27.19,20180119
LTC,10580762476.21,192.96,54832908,560283904.0,1.2,0.01,-18.77,20180119
